# time (s)	h_+ (strain)	h_x (strain)
-1.987670898	2.917118473713147613e-22	3.058196909700097539e-21
-1.987609863	4.231935779684271872e-23	3.433600350380153244e-21
-1.987548828	1.920759743960467210e-22	3.063624083195913150e-21
-1.987487793	-5.611866569800884199e-23	3.435180789885214592e-21
-1.987426758	9.236657048025385043e-23	3.066016608191930909e-21
-1.987365723	-1.545997023629315298e-22	3.433754809797339053e-21
-1.987304688	-7.324416985244844206e-24	3.065373752333190579e-21
-1.987243652	-2.530315138088026415e-22	3.429322541937681882e-21
-1.987182617	-1.069050515259878560e-22	3.061697583925652249e-21
-1.987121582	-3.513219222564221172e-22	3.421886931462547651e-21
-1.987060547	-2.062834931308701574e-22	3.054992970439419255e-21
-1.986999512	-4.493788960733341849e-22	3.411453733607908111e-21
-1.986938477	-3.053680838403826605e-22	3.045267574158661279e-21
-1.986877441	-5.471106349299408025e-22	3.398031507761140054e-21
-1.986816406	-4.040674331051138131e-22	3.032531845454565241e-21
-1.986755371	-6.444256549434937793e-22	3.381631608987983791e-21
-1.986694336	-5.022905029306760963e-22	3.016799013295825574e-21
-1.986633301	-7.412328734072099889e-22	3.362268176947624654e-21
-1.986572266	-5.999466926923295187e-22	2.998085073256910631e-21
-1.986511230	-8.374416932093344320e-22	3.339958122188795651e-21
-1.986450195	-6.969459234668256307e-22	2.976408772915487316e-21
-1.986389160	-9.329620867961822074e-22	3.314721109944179882e-21
-1.986328125	-7.931987218979553111e-22	2.951791594687951124e-21
-1.986267090	-1.027704679646204927e-21	3.286579541400033145e-21
-1.986206055	-8.886163035641594040e-22	2.924257736012366852e-21
-1.986145020	-1.121580832956630139e-21	3.255558532327925002e-21
-1.986083984	-9.831106555877848793e-22	2.893834087256034426e-21
-1.986022949	-1.214502725956971387e-21	3.221685889282682169e-21
-1.985961914	-1.076594618544808632e-21	2.860550206777114063e-21
-1.985900879	-1.306383437120799509e-21	3.184992083334062761e-21
-1.985839844	-1.168981967624170824e-21	2.824438293845374172e-21
-1.985778809	-1.397137024893389318e-21	3.145510221280104095e-21
