# time (s)	h_+ (strain)	h_x (strain)
-1.992309570	3.212187569297875787e-21	-1.279457185544706908e-21
-1.992248535	2.964838314488746790e-21	-7.419692513067049550e-22
-1.992187500	3.241114302950846997e-21	-1.183023718401800517e-21
-1.992126465	2.994476342755791859e-21	-6.491225492020843329e-22
-1.992065430	3.267166265125134036e-21	-1.085754678864708923e-21
-1.992004395	3.021191695030760079e-21	-5.554187497789835574e-22
-1.991943359	3.290317962839202167e-21	-9.877378489498898073e-22
-1.991882324	3.044961079971724276e-21	-4.609475997779710563e-22
-1.991821289	3.310546629107024941e-21	-8.890617572055825643e-22
-1.991760254	3.065763915625383168e-21	-3.657994999369420941e-22
-1.991699219	3.327832242960743277e-21	-7.898155947668460015e-22
-1.991638184	3.083582349415669107e-21	-2.700654227815111304e-22
-1.991577148	3.342157547161851261e-21	-6.900891307140383299e-22
-1.991516113	3.098401275436986007e-21	-1.738368295807241956e-22
-1.991455078	3.353508063134630483e-21	-5.899726270595084182e-22
-1.991394043	3.110208349231850251e-21	-7.720558701311742180e-23
-1.991333008	3.361872103543832767e-21	-4.895567532929045281e-22
-1.991271973	3.118993999943635029e-21	1.973611676253689547e-23
-1.991210938	3.367240782170278668e-21	-3.889325006038461497e-22
-1.991149902	3.124751439815478003e-21	1.168958562482417375e-22
-1.991088867	3.369608021369206250e-21	-2.881910959352163166e-22
-1.991027832	3.127476671140235742e-21	2.141810531829642150e-22
-1.990966797	3.368970556801823554e-21	-1.874239158341289626e-22
-1.990905762	3.127168490588418441e-21	3.114990611997510950e-22
-1.990844727	3.365327939647619807e-21	-8.672240017810053088e-23
-1.990783691	3.123828490845904455e-21	4.087572506276336332e-22
-1.990722656	3.358682536200267709e-21	1.382203405000574493e-23
-1.990661621	3.117461059630665792e-21	5.058630932704468270e-22
-1.990600586	3.349039524975716237e-21	1.141180788467721886e-22
-1.990539551	3.108073376217630650e-21	6.027242472942515564e-22
-1.990478516	3.336406891021588266e-21	2.140746212853224113e-22
-1.990417480	3.095675405184710421e-21	6.992486417398248086e-22
-1.990356445	3.320795417890190438e-21	3.136008292489534358e-22
-1.990295410	3.080279887650323994e-21	7.953445610404025756e-22
-1.990234375	3.302218676881246505e-21	4.126062369347862068e-22
-1.990173340	3.061902329849131909e-21	8.909207291838975887e-22
-1.990112305	3.280693013685986940e-21	5.110008299271603421e-22
-1.990051270	3.040560989145380900e-21	9.858863934044483625e-22
-1.989990234	3.256237532592917948e-21	6.086951298138913564e-22
-1.989929199	3.016276857482003618e-21	1.080151407513981840e-21
-1.989868164	3.228874078113768199e-21	7.056002782751450714e-22
-1.989807129	2.989073642276510023e-21	1.173626314721705870e-21
-1.989746094	3.198627214027917557e-21	8.016281205831820928e-22
-1.989685059	2.958977744745857087e-21	1.266222429783105731e-21
-1.989624023	3.165524199963170208e-21	8.966912884012187651e-22
-1.989562988	2.926018235678767691e-21	1.357851920483706390e-21
-1.989501953	3.129594965477802200e-21	9.907032817385803470e-22
-1.989440918	2.890226828808706429e-21	1.448427888336224787e-21
-1.989379883	3.090872081733615189e-21	1.083578550134376305e-21
